09PR0001,NULL,09PR,09TF2001_005,NULL,09TF2001_005s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0002,NULL,09PR,09TF2245_004,NULL,09TF2245_004s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0003,NULL,09PR,09TF2005_008,NULL,09TF2005_008s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0004,NULL,09PR,09TF2005_010,NULL,09TF2005_010s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0005,NULL,09PR,09TF2006_001,NULL,09TF2006_001s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0006,NULL,09PR,09TF2007_010,NULL,09TF2007_010s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0007,NULL,09PR,09TF2009_001,NULL,09TF2009_001s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0008,NULL,09PR,09TF2009_005,NULL,09TF2009_005s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0009,NULL,09PR,09TF2009_012,NULL,09TF2009_012s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0010,NULL,09PR,09TF2011_011,NULL,09TF2011_011s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0011,NULL,09PR,09TF2012_011,NULL,09TF2012_011s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0012,NULL,09PR,09TF2016_001,NULL,09TF2016_001s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0013,NULL,09PR,09TF2016_010,NULL,09TF2016_010s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0014,NULL,09PR,09TF2017_004,NULL,09TF2017_004s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0015,NULL,09PR,09TF2017_010,NULL,09TF2017_010s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0016,NULL,09PR,09TF2019_003,NULL,09TF2019_003s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0017,NULL,09PR,09TF2020_010,NULL,09TF2020_010s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0018,NULL,09PR,09TF2021_012,NULL,09TF2021_012s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0019,NULL,09PR,09TF2022_009,NULL,09TF2022_009s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
09PR0020,NULL,09PR,09TF2022_014,NULL,09TF2022_014s,NULL,NULL,NULL,NULL,NULL,18,NULL,NULL,NULL,Self All in Row,34
