10PB0036,NULL,10PB,B73/[32-24]-5_319_02_01_sib,P05L0319,09PF0156_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0037,NULL,10PB,B73/[32-24]-5_242_01_01_sib,P05L0242,09PF0189_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0038,NULL,10PB,B73/[32-24]-5_138_02_01_sib,P05L0138,09PF0190_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0039,NULL,10PB,B73/[32-24]-5_345_02_01_sib,P05L0345,09PF0026_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0040,NULL,10PB,B73/[32-24]-5_262_02_01_sib,P05L0262,09PF0137_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0041,NULL,10PB,B73/[32-24]-5_244_02_01_sib,P05L0244,09PF0031_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0042,NULL,10PB,B73/[32-24]-5_047_02_01_sib,P05L0047,09PF0115_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0043,NULL,10PB,B73/[32-24]-5_124_02_01_sib,P05L0124,09PF0047_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0044,NULL,10PB,NULL,B73,NULL,NULL,NULL,NULL,3,1,16,5,NULL,check,NULL,3
10PB0045,NULL,10PB,B73/[32-24]-5_238_02_01_sib,P05L0238,09PF0013_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0046,NULL,10PB,B73/[32-24]-5_275_02_01_sib,B73,09PF0081_000b,NULL,NULL,NULL,3,1,16,5,NULL,check,changed from P05L0238,3
10PB0047,NULL,10PB,B73/[32-24]-5_348_02_01_sib,P05L0348,09PF0004_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0048,NULL,10PB,B73/[32-24]-5_251_02_01_sib,P05L0251,09PF0150_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0049,NULL,10PB,B73/[32-24]-5_327_02_01_sib,P05L0327,09PF0138_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0050,NULL,10PB,B73/[32-24]-5_266_02_01_sib,P05L0266,09PF0207_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0051,NULL,10PB,B73/[32-24]-5_081_02_01_sib,P05L0081,09PF0090_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0052,NULL,10PB,B73/[32-24]-5_233_01_01_sib,P05L0233,09PF0056_000b,NULL,NULL,NULL,3,1,16,5,NULL,trial,NULL,3
10PB0053,NULL,10PB,B73/[32-24]-5_095_02_01_sib,P05L0095,09PF0165_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0054,NULL,10PB,B73/[32-24]-5_153_02_01_sib,P05L0153,09PF0067_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0055,NULL,10PB,B73/[32-24]-5_036_02_01_sib,P05L0036,09PF0020_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0056,NULL,10PB,B73/[32-24]-5_315_02_01_sib,P05L0315,09PF0050_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0057,NULL,10PB,B73/[32-24]-5_207_01_01_sib,P05L0207,09PF0087_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0058,NULL,10PB,B73/[32-24]-5_106_02_01_sib,P05L0106,09PF0098_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0059,NULL,10PB,B73/[32-24]-5_285_02_01_sib,P05L0285,09PF0083_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
10PB0060,NULL,10PB,B73/[32-24]-5_048_02_01_sib,P05L0048,09PF0036_000b,NULL,NULL,NULL,4,1,16,5,NULL,trial,NULL,3
