08FL0001_001s,08FL0001_001,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_001s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_002s,08FL0001_002,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_002s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_003s,08FL0001_003,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_003s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_004s,08FL0001_004,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_004s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_005s,08FL0001_005,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_005s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_006s,08FL0001_006,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_006s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_007s,08FL0001_007,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_007s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_008s,08FL0001_008,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_008s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0001_009s,08FL0001_009,08FL0001,08FL,Tx303,NULL,NULL,self,08FL0001_009s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_001s,08FL0002_001,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_001s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_002s,08FL0002_002,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_002s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_003s,08FL0002_003,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_003s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_004s,08FL0002_004,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_004s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_005s,08FL0002_005,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_005s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_006s,08FL0002_006,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_006s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_007s,08FL0002_007,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_007s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_008s,08FL0002_008,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_008s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
08FL0002_009s,08FL0002_009,08FL0002,08FL,Tx303,NULL,NULL,self,08FL0002_009s,NULL,NULL,Tx303,NULL,8,NULL,NULL,NULL,NULL
