09SX0001,NULL,09SX,Z006E0003,NULL,NULL,JH04FL740801,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0002,NULL,09SX,Z006E0014,NULL,NULL,JH04FL743101,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0003,NULL,09SX,Z006E0031,NULL,NULL,JH04FL745901,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0004,NULL,09SX,Z006E0033,NULL,NULL,JH04FL746101,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0005,NULL,09SX,Z006E0054,NULL,NULL,JH04FL749801,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0006,NULL,09SX,Z006E0058,NULL,NULL,JH04FL750201,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0007,NULL,09SX,Z006E0082,NULL,NULL,24MM1349,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0008,NULL,09SX,Z006E0085,NULL,NULL,24MM1352,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0009,NULL,09SX,Z006E0092,NULL,NULL,23MM0597B01,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0010,NULL,09SX,Z006E0101,NULL,NULL,24MM1372,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0011,NULL,09SX,Z006E0107,NULL,NULL,24MM1382,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0012,NULL,09SX,Z006E0138,NULL,NULL,05CO58451A,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0013,NULL,09SX,Z006E0195,NULL,NULL,06A609051A,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0014,NULL,09SX,Z006E0197,NULL,NULL,05C053851A,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0015,NULL,09SX,Z006E0198,NULL,NULL,05C058251A,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0016,NULL,09SX,Z006E0199,NULL,NULL,05C060451A,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0017,NULL,09SX,NIL_99,NULL,NULL,08A7359,2,NULL,NULL,NULL,20,NULL,NULL,self,planted 19/05/09,8
09SX0018,NULL,09SX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
09SX0019,NULL,09SX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
09SX0020,NULL,09SX,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8
