10SX0001_001s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_002s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_003s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_004s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_005s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_006s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0001_007s,NULL,10SX0001,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_001s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_002s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_003s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_004s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_005s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_006s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0002_007s,NULL,10SX0002,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_001s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_002s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_003s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_004s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_005s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_006s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
10SX0003_007s,NULL,10SX0003,10SX,NULL,NULL,NULL,self,NULL,NULL,NULL,(B73/TBBC3_19.1)S1,NULL,8,NULL,NULL,NULL,NULL
