11BN0030,NULL,11BN,CML103/B73,NULL,10NN0059_001s,NIL-1345,17,130,A,NULL,10,2,NULL,Screen,6/Region: 40-50/H(5: 61.32cM) B(6: 70.79cM) H(10: 97.9cM) H(3: 19.62cM) B(6: 67.17cM),31
11BN0031,NULL,11BN,CML228/B73,NULL,10NN0061_001s,NIL-1006,17,131,B,NULL,10,3,NULL,Screen,1/Region: 140-160/H(8:5.09cM) H(8: OcM) H(2: 10.2cM),31
11BN0032,NULL,11BN,CML228/B73,NULL,10NN0063_001s,NIL-1023,17,132,B,NULL,10,3,NULL,Screen,2/Region: 10-20/B(2: 5.74cM) H(l: 73.43cM),31
11BN0033,NULL,11BN,CML228/B73,NULL,10NN0065_001s,NIL-1028,17,133,B,NULL,10,3,NULL,Screen,1/Region: 100-120/B(l: 99.58cM),31
11BN0034,NULL,11BN,CML228/B73,NULL,10NN0067_001s,NIL-1038,17,134,B,NULL,10,3,NULL,Screen,1/Region: 160-180/H(4: 57.28cM) H(2:10.2cM),31
11BN0035,NULL,11BN,CML228/B73,NULL,10NN0069_001s,NIL-1041,17,135,B,NULL,10,3,NULL,Screen,4/Region: 50-60/B(4:48.49cM) B(4:45.82cM),31
11BN0036,NULL,11BN,CML228/B73,NULL,10NN0071_001s,NIL-1045,17,136,B,NULL,10,3,NULL,Screen,6/Region: 30-40/H(5:79.14cM),31
11BN0037,NULL,11BN,CML228/B73,NULL,10NN0073_001s,NIL-1049,17,137,B,NULL,10,3,NULL,Screen,3/Region: 60-70/None,31
11BN0038,NULL,11BN,CML228/B73,NULL,10NN0075_001s,NIL-1068,17,138,B,NULL,10,3,NULL,Screen,4/Region: 70-80/B(4: 65.34cM) B(4: 65.25cM),31
11BN0039,NULL,11BN,CML228/B73,NULL,10NN0077_001s,NIL-1077,17,139,B,NULL,10,3,NULL,Screen,3/Region: 110-120/H(3: 33.54cM),31
11BN0040,NULL,11BN,CML228/B73,NULL,10NN0079_001s,NIL-1085,17,140,B,NULL,10,3,NULL,Screen,3/Region: 30-40/None,31
