08BB0001,08B0001,08BB,(B73xIl14H)S5,NULL,NULL,07A2272,1,1,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0002,08B0002,08BB,(B73xIl14H)S5,NULL,NULL,07A2657,1,2,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0003,08B0003,08BB,(B73xIl14H)S5,NULL,NULL,07A0133,1,3,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0004,08B0004,08BB,(B73xIl14H)S5,NULL,NULL,07A3532,1,4,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0005,08B0005,08BB,Il14H,NULL,NULL,07K0953,1,5,1,NULL,16,11,NULL,Check,NAM GLS trial 2008  Il14H pop,31
08BB0006,08B0006,08BB,(B73xIl14H)S5,NULL,NULL,07A0511,1,6,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0007,08B0007,08BB,(B73xIl14H)S5,NULL,NULL,07A0564,1,7,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0008,08B0008,08BB,(B73xIl14H)S5,NULL,NULL,07A0489,1,8,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0009,08B0009,08BB,(B73xIl14H)S5,NULL,NULL,07A0567,1,9,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0010,08B0010,08BB,(B73xIl14H)S5,NULL,NULL,06A0369,1,10,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0011,08B0011,08BB,(B73xIl14H)S5,NULL,NULL,07A0121,1,11,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0012,08B0012,08BB,(B73xIl14H)S5,NULL,NULL,07A2626,1,12,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0013,08B0013,08BB,(B73xIl14H)S5,NULL,NULL,07A2233,1,13,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0014,08B0014,08BB,(B73xIl14H)S5,NULL,NULL,07A0629,1,14,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0015,08B0015,08BB,(B73xIl14H)S5,NULL,NULL,06A0291,1,15,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
08BB0016,08B0016,08BB,(B73xIl14H)S5,NULL,NULL,07A3330,1,16,1,NULL,16,11,NULL,Trial,NAM GLS trial 2008  Il14H pop,31
