11PR0001_001s,11PR0001_001,11PR0001,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2001_005s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0001_002s,11PR0001_002,11PR0001,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2001_005s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0001_003s,11PR0001_003,11PR0001,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2001_005s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0002_001s,11PR0002_001,11PR0002,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2002_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0002_002s,11PR0002_002,11PR0002,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2002_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0002_003s,11PR0002_003,11PR0002,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2002_006s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0003_001s,11PR0003_001,11PR0003,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2003_011s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0003_002s,11PR0003_002,11PR0003,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2003_011s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0004_001s,11PR0004_001,11PR0004,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2004_001s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0005_001s,11PR0005_001,11PR0005,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2004_002s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0006_001s,11PR0006_001,11PR0006,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2007_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0006_002s,11PR0006_002,11PR0006,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2007_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0006_003s,11PR0006_003,11PR0006,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2007_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0007_001s,11PR0007_001,11PR0007,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2007_008s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0007_002s,11PR0007_002,11PR0007,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2007_008s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0009_001s,11PR0009_001,11PR0009,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2008_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0010_001s,11PR0010_001,11PR0010,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2008_010s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0012_001s,11PR0012_001,11PR0012,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2010_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0013_001s,11PR0013_001,11PR0013,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0014_001s,11PR0014_001,11PR0014,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0014_002s,11PR0014_002,11PR0014,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0014_003s,11PR0014_003,11PR0014,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0014_004s,11PR0014_004,11PR0014,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0014_005s,11PR0014_005,11PR0014,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2011_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0015_001s,11PR0015_001,11PR0015,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2012_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0015_002s,11PR0015_002,11PR0015,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2012_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0015_003s,11PR0015_003,11PR0015,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2012_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0015_004s,11PR0015_004,11PR0015,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2012_007s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0017_001s,11PR0017_001,11PR0017,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2013_005s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0017_002s,11PR0017_002,11PR0017,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2013_005s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0018_001s,11PR0018_001,11PR0018,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2014_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0018_002s,11PR0018_002,11PR0018,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2014_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0018_003s,11PR0018_003,11PR0018,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2014_004s)S2,NULL,34,NULL,NULL,NULL,NULL
11PR0018_004s,11PR0018_004,11PR0018,11PR,NULL,NULL,NULL,self,NULL,NULL,NULL,(11TF2014_004s)S2,NULL,34,NULL,NULL,NULL,NULL
