09PT0045,NULL,09PT,NULL,Z031E0061,NULL,08PR0648,11,36,NULL,1,16,31,NULL,trial,NULL,3
09PT0046,NULL,09PT,NULL,Z031E0031,NULL,08FG0476,11,35,NULL,1,16,31,NULL,trial,NULL,3
09PT0047,NULL,09PT,NULL,Z031E0507,NULL,08FG1273,11,34,NULL,1,16,31,NULL,trial,NULL,3
09PT0048,NULL,09PT,NULL,Z031E0077,NULL,08FG0537,11,33,NULL,1,16,31,NULL,trial,NULL,3
09PT0049,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,11,32,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0050,NULL,09PT,NULL,Z031E0023,NULL,08FG0468,11,31,NULL,1,16,31,NULL,trial,NULL,3
09PT0051,NULL,09PT,NULL,Z031E0527,NULL,08GH2004,11,30,NULL,1,16,31,NULL,trial,NULL,3
09PT0052,NULL,09PT,NULL,Z031E0065,NULL,08FG0520,11,29,NULL,1,16,31,NULL,trial,NULL,3
09PT0053,NULL,09PT,NULL,Z031E0042,NULL,08FG0489,11,28,NULL,1,16,31,NULL,trial,NULL,3
09PT0054,NULL,09PT,NULL,Z031E0569,NULL,08FG1336,11,27,NULL,1,16,31,NULL,trial,NULL,3
09PT0055,NULL,09PT,NULL,Z031E0046,NULL,08FG0493,11,26,NULL,1,16,31,NULL,trial,NULL,3
09PT0056,NULL,09PT,NULL,Z031E0538,NULL,08GH2005,11,25,NULL,1,16,31,NULL,trial,NULL,3
09PT0057,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,11,24,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0058,NULL,09PT,NULL,Z031E0510,NULL,08FG1276,11,23,NULL,1,16,31,NULL,trial,NULL,3
09PT0059,NULL,09PT,NULL,Z031E0039,NULL,08FG0485,11,22,NULL,1,16,31,NULL,trial,NULL,3
09PT0060,NULL,09PT,NULL,Z031E0041,NULL,08FG0487,11,21,NULL,1,16,31,NULL,trial,NULL,3
09PT0061,NULL,09PT,NULL,Z031E0539,NULL,08FG1306,11,20,NULL,1,16,31,NULL,trial,NULL,3
09PT0062,NULL,09PT,NULL,Z031E0570,NULL,08FG1337,11,19,NULL,1,16,31,NULL,trial,NULL,3
09PT0063,NULL,09PT,NULL,Z031E0523,NULL,08FG1289,11,18,NULL,1,16,31,NULL,trial,NULL,3
09PT0064,NULL,09PT,NULL,Z031E0032,NULL,08FG0477,11,17,NULL,1,16,31,NULL,trial,NULL,3
09PT0065,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,11,16,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0066,NULL,09PT,NULL,Z031E0014,NULL,08FG0459,11,15,NULL,1,16,31,NULL,trial,NULL,3
09PT0067,NULL,09PT,NULL,Z031E0587,NULL,08FG1354,11,14,NULL,1,16,31,NULL,trial,NULL,3
09PT0068,NULL,09PT,NULL,Z031E0052,NULL,08FG0499,11,13,NULL,1,16,31,NULL,trial,NULL,3
09PT0069,NULL,09PT,NULL,Z031E0046,NULL,08FG0493,11,12,NULL,2,16,31,NULL,trial,NULL,3
09PT0070,NULL,09PT,NULL,Z031E0065,NULL,08FG0520,11,11,NULL,2,16,31,NULL,trial,NULL,3
09PT0071,NULL,09PT,NULL,Z031E0041,NULL,08FG0487,11,10,NULL,2,16,31,NULL,trial,NULL,3
09PT0072,NULL,09PT,NULL,Z031E0032,NULL,08FG0477,11,9,NULL,2,16,31,NULL,trial,NULL,3
09PT0073,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,11,8,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0074,NULL,09PT,NULL,Z031E0507,NULL,08FG1273,11,7,NULL,2,16,31,NULL,trial,NULL,3
09PT0075,NULL,09PT,NULL,Z031E0510,NULL,08FG1276,11,6,NULL,2,16,31,NULL,trial,NULL,3
09PT0076,NULL,09PT,NULL,Z031E0077,NULL,08FG0537,11,5,NULL,2,16,31,NULL,trial,NULL,3
09PT0077,NULL,09PT,NULL,Z031E0538,NULL,08GH2005,11,4,NULL,2,16,31,NULL,trial,NULL,3
09PT0078,NULL,09PT,NULL,Z031E0039,NULL,08FG0485,11,3,NULL,2,16,31,NULL,trial,NULL,3
09PT0079,NULL,09PT,NULL,Z031E0569,NULL,08FG1336,11,2,NULL,2,16,31,NULL,trial,NULL,3
09PT0080,NULL,09PT,NULL,Z031E0523,NULL,08FG1289,11,1,NULL,2,16,31,NULL,trial,NULL,3
09PT0081,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,12,1,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0082,NULL,09PT,NULL,Z031E0587,NULL,08FG1354,12,2,NULL,2,16,31,NULL,trial,NULL,3
09PT0083,NULL,09PT,NULL,Z031E0023,NULL,08FG0468,12,3,NULL,2,16,31,NULL,trial,NULL,3
09PT0084,NULL,09PT,NULL,Z031E0042,NULL,08FG0489,12,4,NULL,2,16,31,NULL,trial,NULL,3
09PT0085,NULL,09PT,NULL,Z031E0539,NULL,08FG1306,12,5,NULL,2,16,31,NULL,trial,NULL,3
09PT0086,NULL,09PT,NULL,Z031E0009,NULL,08FG0453,12,6,NULL,2,16,31,NULL,trial,NULL,3
09PT0087,NULL,09PT,NULL,Z031E0049,NULL,08FG0496,12,7,NULL,2,16,31,NULL,trial,NULL,3
09PT0088,NULL,09PT,NULL,Z031E0052,NULL,08FG0499,12,8,NULL,2,16,31,NULL,trial,NULL,3
09PT0089,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,12,9,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0090,NULL,09PT,NULL,Z031E0061,NULL,08PR0648,12,10,NULL,2,16,31,NULL,trial,NULL,3
09PT0091,NULL,09PT,NULL,Z031E0014,NULL,08FG0459,12,11,NULL,2,16,31,NULL,trial,NULL,3
09PT0092,NULL,09PT,NULL,Z031E0031,NULL,08FG0476,12,12,NULL,2,16,31,NULL,trial,NULL,3
09PT0093,NULL,09PT,NULL,Z031E0527,NULL,08GH2004,12,13,NULL,2,16,31,NULL,trial,NULL,3
09PT0094,NULL,09PT,NULL,Z032E0095,NULL,08FG0728,12,14,NULL,1,16,32,NULL,trial,NULL,3
09PT0095,NULL,09PT,NULL,Z032E0071,NULL,08FG0702,12,15,NULL,1,16,32,NULL,trial,NULL,3
09PT0096,NULL,09PT,NULL,Z032E0026,NULL,08FG0656,12,16,NULL,1,16,32,NULL,trial,NULL,3
09PT0097,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,12,17,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0098,NULL,09PT,NULL,Z032E0060,NULL,08FG0690,12,18,NULL,1,16,32,NULL,trial,NULL,3
09PT0099,NULL,09PT,NULL,Z032E0070,NULL,08FG0701,12,19,NULL,1,16,32,NULL,trial,NULL,3
09PT0100,NULL,09PT,NULL,Z032E0044,NULL,08FG0674,12,20,NULL,1,16,32,NULL,trial,NULL,3
09PT0101,NULL,09PT,NULL,Z032E0025,NULL,08FG0655,12,21,NULL,1,16,32,NULL,trial,NULL,3
09PT0102,NULL,09PT,NULL,Z032E0039,NULL,08FG0669,12,22,NULL,1,16,32,NULL,trial,NULL,3
09PT0103,NULL,09PT,NULL,Z032E0050,NULL,08FG0680,12,23,NULL,1,16,32,NULL,trial,NULL,3
09PT0104,NULL,09PT,NULL,Z032E0020,NULL,08FG0650,12,24,NULL,1,16,32,NULL,trial,NULL,3
09PT0105,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,12,25,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0106,NULL,09PT,NULL,Z032E0084,NULL,08FG0716,12,26,NULL,1,16,32,NULL,trial,NULL,3
09PT0107,NULL,09PT,NULL,Z032E0081,NULL,08FG0713,12,27,NULL,1,16,32,NULL,trial,NULL,3
09PT0108,NULL,09PT,NULL,Z032E0063,NULL,08FG0694,12,28,NULL,1,16,32,NULL,trial,NULL,3
09PT0109,NULL,09PT,NULL,Z032E0015,NULL,08FG0645,12,29,NULL,1,16,32,NULL,trial,NULL,3
09PT0110,NULL,09PT,NULL,Z032E0072,NULL,08FG0703,12,30,NULL,1,16,32,NULL,trial,NULL,3
09PT0111,NULL,09PT,NULL,Z032E0006,NULL,08FG0636,12,31,NULL,1,16,32,NULL,trial,NULL,3
09PT0112,NULL,09PT,NULL,Z032E0058,NULL,08FG0688,12,32,NULL,1,16,32,NULL,trial,NULL,3
09PT0113,NULL,09PT,B73 (Flint-Garcia),NULL,08PN0033_000b,NULL,12,33,NULL,NULL,16,NULL,NULL,check,NULL,3
09PT0114,NULL,09PT,NULL,Z032E0007,NULL,08FG0637,12,34,NULL,1,16,32,NULL,trial,NULL,3
09PT0115,NULL,09PT,NULL,Z032E0074,NULL,08FG0706,12,35,NULL,1,16,32,NULL,trial,NULL,3
09PT0116,NULL,09PT,NULL,Z032E0075,NULL,08FG0707,12,36,NULL,1,16,32,NULL,trial,NULL,3
