10BB0039,10B0039,10BB,(B73؃ML277)S5,NULL,NULL,07A3892,24,139,2,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0040,10B0040,10BB,(B73؃ML277)S5,NULL,NULL,07A1578,24,140,2,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0041,10B0041,10BB,B73,NULL,08PN0309_000,NULL,24,141,2,NULL,16,CML277,7/15/2010,CheckB,NULL,31
10BB0042,10B0042,10BB,(B73؃ML277)S5,NULL,NULL,07A4123,24,142,2,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0043,10B0043,10BB,(B73؃ML277)S5,NULL,NULL,07A4907,24,143,2,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0044,10B0044,10BB,(B73؃ML277)S5,NULL,NULL,07A3692,24,144,2,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0045,10B0045,10BB,(B73؃ML277)S5,NULL,NULL,07A4071,24,145,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0046,10B0046,10BB,(B73؃ML277)S5,NULL,NULL,07A2045,24,146,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0047,10B0047,10BB,(B73؃ML277)S5,NULL,NULL,07A3693,24,147,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0048,10B0048,10BB,(B73؃ML277)S5,NULL,NULL,07A5198,24,148,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0049,10B0049,10BB,(B73؃ML277)S5,NULL,NULL,07A2046,24,149,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0050,10B0050,10BB,(B73؃ML277)S5,NULL,NULL,07A2214,24,150,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0051,10B0051,10BB,(B73؃ML277)S5,NULL,NULL,06A4813,24,151,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0052,10B0052,10BB,(B73؃ML277)S5,NULL,NULL,07A4235,24,152,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0053,10B0053,10BB,(B73؃ML277)S5,NULL,NULL,07A3863,24,153,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0054,10B0054,10BB,(B73؃ML277)S5,NULL,NULL,07A5175,24,154,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0055,10B0055,10BB,(B73؃ML277)S5,NULL,NULL,07A5337,24,155,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0056,10B0056,10BB,(B73؃ML277)S5,NULL,NULL,07A5573,24,156,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0057,10B0057,10BB,(B73؃ML277)S5,NULL,NULL,07A5791,24,157,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0058,10B0058,10BB,(B73؃ML277)S5,NULL,09PN0035_000,NULL,24,158,3,NULL,16,CML277,7/15/2010,CheckB2,NULL,31
10BB0059,10B0059,10BB,(B73؃ML277)S5,NULL,NULL,07A5670,24,159,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0060,10B0060,10BB,B73,NULL,08PN0309_000,NULL,24,160,3,NULL,16,CML277,7/15/2010,CheckB,NULL,31
10BB0061,10B0061,10BB,(B73؃ML277)S5,NULL,NULL,06A4859,24,161,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0062,10B0062,10BB,CML277,NULL,NULL,05P0718151A,24,162,3,NULL,16,CML277,7/15/2010,Check,NULL,31
10BB0063,10B0063,10BB,(B73؃ML277)S5,NULL,NULL,07A2160,24,163,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0064,10B0064,10BB,(B73؃ML277)S5,NULL,NULL,07A3978,24,164,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0065,10B0065,10BB,(B73؃ML277)S5,NULL,NULL,07A2145,24,165,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0066,10B0066,10BB,(B73؃ML277)S5,NULL,NULL,07A2086,24,166,3,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0067,10B0067,10BB,CML277,NULL,NULL,05P0718151A,24,167,4,NULL,16,CML277,7/15/2010,Check,NULL,31
10BB0068,10B0068,10BB,(B73؃ML277)S5,NULL,NULL,07A4301,24,168,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0069,10B0069,10BB,(B73؃ML277)S5,NULL,NULL,07A4168,24,169,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0070,10B0070,10BB,(B73؃ML277)S5,NULL,NULL,07A4431,24,170,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0071,10B0071,10BB,(B73؃ML277)S5,NULL,NULL,07A5589,24,171,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0072,10B0072,10BB,(B73؃ML277)S5,NULL,NULL,07A4166,24,172,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0073,10B0073,10BB,B73,NULL,08PN0309_000,NULL,24,173,4,NULL,16,CML277,7/15/2010,CheckB,NULL,31
10BB0074,10B0074,10BB,(B73؃ML277)S5,NULL,NULL,07A4732,24,174,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0075,10B0075,10BB,(B73؃ML277)S5,NULL,NULL,06A4772,24,175,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0076,10B0076,10BB,(B73؃ML277)S5,NULL,NULL,06A4901,24,176,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
10BB0077,10B0077,10BB,(B73؃ML277)S5,NULL,NULL,07A1335,24,177,4,NULL,16,CML277,7/15/2010,Trial,NULL,31
