07FL0204,JP001,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,12,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0205,JP002,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,13,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0206,JP003,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,14,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0207,JP004,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,15,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0208,JP005,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,16,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0209,JP006,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,16,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0210,JP007,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,13,15,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0211,JP008,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,14,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0212,JP009,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,13,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0213,JP010,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,12,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0214,JP011,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,11,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0215,JP012,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,10,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0216,JP013,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,9,NULL,NULL,12,NULL,NULL,NULL,NULL,0
07FL0217,JP014,07FL,B73/32-24-10s,NULL,07PN0003_001s,07N03.01s,14,8,NULL,NULL,12,NULL,NULL,NULL,NULL,0
