10TR2017_001s,10TR2017_001,10TR2017,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2017_002s,10TR2017_002,10TR2017,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2023_001s,10TR2023_001,10TR2023,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2023_002s,10TR2023_002,10TR2023,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2054_001s,10TR2054_001,10TR2054,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2061_001s,10TR2061_001,10TR2061,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2061_002s,10TR2061_002,10TR2061,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2063_001s,10TR2063_001,10TR2063,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2063_002s,10TR2063_002,10TR2063,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2063_003s,10TR2063_003,10TR2063,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2068_001s,10TR2068_001,10TR2068,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2074_001s,10TR2074_001,10TR2074,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2074_002s,10TR2074_002,10TR2074,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2074_003s,10TR2074_003,10TR2074,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2075_001s,10TR2075_001,10TR2075,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2075_002s,10TR2075_002,10TR2075,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2102_001s,10TR2102_001,10TR2102,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2102_002s,10TR2102_002,10TR2102,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2108_001s,10TR2108_001,10TR2108,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2108_002s,10TR2108_002,10TR2108,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2125_001s,10TR2125_001,10TR2125,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2125_002s,10TR2125_002,10TR2125,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
10TR2125_003s,10TR2125_003,10TR2125,10TR,NULL,NULL,NULL,self,NULL,NULL,NULL,NULL,NULL,34,NULL,NULL,NULL,NULL
