07PF0001_003s,07PF0001_003,07PF0001,07PF,07F01.03,07F01,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_003,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0001_004s,07PF0001_004,07PF0001,07PF,07F01.04,07F01,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_004,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0002_002s,07PF0002_002,07PF0002,07PF,07F02.02,07F02,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_017,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0002_004s,07PF0002_004,07PF0002,07PF,07F02.04,07F02,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_019,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0002_006s,07PF0002_006,07PF0002,07PF,07F02.06,07F02,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_021,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0002_007s,07PF0002_007,07PF0002,07PF,07F02.07,07F02,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_022,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_001s,07PF0003_001,07PF0003,07PF,07F03.01,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_031,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_002s,07PF0003_002,07PF0003,07PF,07F03.02,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_032,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_003s,07PF0003_003,07PF0003,07PF,07F03.03,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_033,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_004s,07PF0003_004,07PF0003,07PF,07F03.04,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_034,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_006s,07PF0003_006,07PF0003,07PF,07F03.06,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_036,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_007s,07PF0003_007,07PF0003,07PF,07F03.07,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_037,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_009s,07PF0003_009,07PF0003,07PF,07F03.09,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_039,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_010s,07PF0003_010,07PF0003,07PF,07F03.10,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_040,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0003_011s,07PF0003_011,07PF0003,07PF,07F03.11,07F03,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_041,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0004_001s,07PF0004_001,07PF0004,07PF,07F04.01,07F04,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_046,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0004_003s,07PF0004_003,07PF0004,07PF,07F04.03,07F04,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_048,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0004_004s,07PF0004_004,07PF0004,07PF,07F04.04,07F04,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_049,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0004_006s,07PF0004_006,07PF0004,07PF,07F04.06,07F04,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_051,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0004_007s,07PF0004_007,07PF0004,07PF,07F04.07,07F04,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_052,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0005_001s,07PF0005_001,07PF0005,07PF,07F05.01,07F05,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_061,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0005_002s,07PF0005_002,07PF0005,07PF,07F05.02,07F05,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_062,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0005_004s,07PF0005_004,07PF0005,07PF,07F05.04,07F05,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_064,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0005_007s,07PF0005_007,07PF0005,07PF,07F05.07,07F05,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_067,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_001s,07PF0006_001,07PF0006,07PF,07F06.01,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_076,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_002s,07PF0006_002,07PF0006,07PF,07F06.02,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_077,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
07PF0006_003s,07PF0006_003,07PF0006,07PF,07F06.03,07F06,NULL,self,NULL,NULL,NULL,B73/[32-24]-1_078,NULL,3,NULL,P30_Et4 [32-24] S2,NULL,NULL
