08PG0039,10441,08PG,#176 (P30 C0),NULL,NULL,Aur06,133,65,4,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0040,10442,08PG,#32 (P30 Et4),NULL,NULL,Aur06,133,66,4,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0041,10443,08PG,#32 (P30 Et4),NULL,NULL,Aur06,133,67,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0042,10444,08PG,#176 (P30 C0),NULL,NULL,Aur06,133,68,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0043,10445,08PG,#32 (P30 Et4),NULL,NULL,Aur06,133,69,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0044,10446,08PG,#22 (P29 Et4),NULL,NULL,Aur06,133,70,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0045,10447,08PG,#22 (P29 Et4),NULL,NULL,Aur06,133,71,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0046,10448,08PG,#166 (P29 C0) ,NULL,NULL,Aur06,133,72,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0047,10449,08PG,#176 (P30 C0),NULL,NULL,Aur06,133,73,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0048,10450,08PG,#166 (P29 C0) ,NULL,NULL,Aur06,133,74,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0049,10451,08PG,B73,NULL,NULL,Aur06 MES,133,75,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0050,10452,08PG,Mo17,NULL,NULL,07K2373 sib,133,76,5,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0051,10603,08PG,B73,NULL,NULL,Aur06 MES,130,11,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0052,10604,08PG,#32 (P30 Et4),NULL,NULL,Aur06,130,10,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0053,10605,08PG,#32 (P30 Et4),NULL,NULL,Aur06,130,9,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0054,10606,08PG,#22 (P29 Et4),NULL,NULL,Aur06,130,8,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0055,10607,08PG,Mo17,NULL,NULL,07K2373 sib,130,7,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0056,10608,08PG,#166 (P29 C0) ,NULL,NULL,Aur06,130,6,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0057,10609,08PG,#176 (P30 C0),NULL,NULL,Aur06,130,5,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0058,10610,08PG,#166 (P29 C0) ,NULL,NULL,Aur06,130,4,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0059,10611,08PG,#22 (P29 Et4),NULL,NULL,Aur06,130,3,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
08PG0060,10612,08PG,#176 (P30 C0),NULL,NULL,Aur06,131,3,6,NULL,12,NULL,NULL,NULL,"GLS, Flowering",3
