13JT1036,1036,13JT,line8,line8,Michael_Kolomiets,line8,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1037,1037,13JT,line7,line7,Michael_Kolomiets,line7,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1038,1038,13JT,line2,line2,Michael_Kolomiets,line2,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1039,1039,13JT,line1,line1,Michael_Kolomiets,line1,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1040,1040,13JT,line9,line9,Michael_Kolomiets,line9,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1041,1041,13JT,line5,line5,Michael_Kolomiets,line5,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1042,1042,13JT,line10,line10,Michael_Kolomiets,line10,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1043,1043,13JT,line6,line6,Michael_Kolomiets,line6,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1044,1044,13JT,line3,line3,Michael_Kolomiets,line3,NULL,NULL,NULL,4,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1045,1045,13JT,line4,line4,Michael_Kolomiets,line4,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1046,1046,13JT,line3,line3,Michael_Kolomiets,line3,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1047,1047,13JT,line9,line9,Michael_Kolomiets,line9,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1048,1048,13JT,line2,line2,Michael_Kolomiets,line2,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1049,1049,13JT,line1,line1,Michael_Kolomiets,line1,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1050,1050,13JT,line5,line5,Michael_Kolomiets,line5,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1051,1051,13JT,line8,line8,Michael_Kolomiets,line8,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1052,1052,13JT,line6,line6,Michael_Kolomiets,line6,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1053,1053,13JT,B73,B73,Michael_Kolomiets,B73-Kolomiets,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1054,1054,13JT,line7,line7,Michael_Kolomiets,line7,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT1055,1055,13JT,line10,line10,Michael_Kolomiets,line10,NULL,NULL,NULL,5,10,lox/opr mutants,NULL,NLB,Michael_Kolomiets,1
13JT2001,2001,13JT,line6,line6,Michael_Kolomiets,line6,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2002,2002,13JT,line7,line7,Michael_Kolomiets,line7,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2003,2003,13JT,line4,line4,Michael_Kolomiets,line4,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2004,2004,13JT,line9,line9,Michael_Kolomiets,line9,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2005,2005,13JT,line5,line5,Michael_Kolomiets,line5,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2006,2006,13JT,line2,line2,Michael_Kolomiets,line2,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2007,2007,13JT,line1,line1,Michael_Kolomiets,line1,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2008,2008,13JT,line8,line8,Michael_Kolomiets,line8,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2009,2009,13JT,line10,line10,Michael_Kolomiets,line10,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2010,2010,13JT,B73,B73,Michael_Kolomiets,B73-Kolomiets,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2011,2011,13JT,line3,line3,Michael_Kolomiets,line3,NULL,NULL,NULL,1,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2012,2012,13JT,line4,line4,Michael_Kolomiets,line4,NULL,NULL,NULL,2,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2013,2013,13JT,line8,line8,Michael_Kolomiets,line8,NULL,NULL,NULL,2,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2014,2014,13JT,line7,line7,Michael_Kolomiets,line7,NULL,NULL,NULL,2,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
13JT2015,2015,13JT,line3,line3,Michael_Kolomiets,line3,NULL,NULL,NULL,2,10,lox/opr mutants,NULL,Stewart's Wilt,Michael_Kolomiets,1
