13LW0001,1,13LW,Mo44_PHG47_0050,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0002,2,13LW,GEMS-0002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0003,3,13LW,Mo44_PHG47_0066,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0004,4,13LW,Mo44_PHG47_0103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0005,5,13LW,Mo44_PHG47_0072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0006,6,13LW,Mo44_PHG47_0131,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0007,7,13LW,PHG47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0008,8,13LW,Mo44_PHG47_0081,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0009,9,13LW,Mo44_PHG47_0125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0010,10,13LW,B73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0011,11,13LW,Mo44_PHG47_0054,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0012,12,13LW,Mo44_PHG47_0082,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0013,13,13LW,Mo44_PHG47_0087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0014,14,13LW,Mo44_PHG47_0113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0015,15,13LW,Mo44_PHG47_0086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0016,16,13LW,Mo44,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0017,17,13LW,Mo44_PHG47_0060,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0018,18,13LW,Mo44_PHG47_0030,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0019,19,13LW,Mo44_PHG47_0062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0020,20,13LW,PHN11_LH145_0095,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0021,21,13LW,PHN11_LH145_0003,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0022,22,13LW,PHN11_LH145_0036,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0023,23,13LW,GEMS-0002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0024,24,13LW,PHN11_LH145_0062,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0025,25,13LW,B73,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0026,26,13LW,PHN11_LH145_0052,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0027,27,13LW,PHN11_LH145_0028,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0028,28,13LW,PHN11_LH145_0089,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0029,29,13LW,PHN11_LH145_0072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0030,30,13LW,PHN11_LH145_0002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0031,31,13LW,PHN11_LH145_0085,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0032,32,13LW,PHN11_LH145_0011,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0033,33,13LW,PHN11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0034,34,13LW,PHN11_LH145_0029,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0035,35,13LW,PHN11_LH145_0058,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
13LW0036,36,13LW,PHN11_LH145_0005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12,NULL,NULL,F. vert. inoc.,NULL,36
